time,action,path
1783995195.969,NONE,screen_collector/screens/browser/NONE/20260713-221315_000000.png
1783995196.041,NONE,screen_collector/screens/browser/NONE/20260713-221315_000001.png
1783995196.606,NONE,screen_collector/screens/browser/NONE/20260713-221315_000002.png
1783995196.744,NONE,screen_collector/screens/browser/NONE/20260713-221315_000003.png
1783995197.240,NONE,screen_collector/screens/browser/NONE/20260713-221315_000004.png
1783995197.310,NONE,screen_collector/screens/browser/NONE/20260713-221315_000005.png
1783995198.081,NONE,screen_collector/screens/browser/NONE/20260713-221315_000006.png
1783995199.200,NONE,screen_collector/screens/browser/NONE/20260713-221315_000007.png
1783995199.547,NONE,screen_collector/screens/browser/NONE/20260713-221315_000008.png
1783995199.972,NONE,screen_collector/screens/browser/NONE/20260713-221315_000009.png
1783995200.186,NONE,screen_collector/screens/browser/NONE/20260713-221315_000010.png
1783995200.681,NONE,screen_collector/screens/browser/NONE/20260713-221315_000011.png
1783995202.009,NONE,screen_collector/screens/browser/NONE/20260713-221315_000012.png
1783995202.295,NONE,screen_collector/screens/browser/NONE/20260713-221315_000013.png
1783995202.573,NONE,screen_collector/screens/browser/NONE/20260713-221315_000014.png
1783995203.409,NONE,screen_collector/screens/browser/NONE/20260713-221315_000015.png
1783995203.624,NONE,screen_collector/screens/browser/NONE/20260713-221315_000016.png
1783995203.767,NONE,screen_collector/screens/browser/NONE/20260713-221315_000017.png
1783995204.049,NONE,screen_collector/screens/browser/NONE/20260713-221315_000018.png
1783995204.186,NONE,screen_collector/screens/browser/NONE/20260713-221315_000019.png
1783995204.814,NONE,screen_collector/screens/browser/NONE/20260713-221315_000020.png
1783995205.856,NONE,screen_collector/screens/browser/NONE/20260713-221315_000021.png
1783995206.067,NONE,screen_collector/screens/browser/NONE/20260713-221315_000022.png
1783995206.348,NONE,screen_collector/screens/browser/NONE/20260713-221315_000023.png
1783995206.488,NONE,screen_collector/screens/browser/NONE/20260713-221315_000024.png
1783995206.842,NONE,screen_collector/screens/browser/NONE/20260713-221315_000025.png
1783995206.984,NONE,screen_collector/screens/browser/NONE/20260713-221315_000026.png
1783995208.614,NONE,screen_collector/screens/browser/NONE/20260713-221315_000027.png
1783995209.380,NONE,screen_collector/screens/browser/NONE/20260713-221315_000028.png
1783995209.595,NONE,screen_collector/screens/browser/NONE/20260713-221315_000029.png
1783995210.359,NONE,screen_collector/screens/browser/NONE/20260713-221315_000030.png
1783995210.710,NONE,screen_collector/screens/browser/NONE/20260713-221315_000031.png
1783995210.851,NONE,screen_collector/screens/browser/NONE/20260713-221315_000032.png
1783995211.349,NONE,screen_collector/screens/browser/NONE/20260713-221315_000033.png
1783995211.417,NONE,screen_collector/screens/browser/NONE/20260713-221315_000034.png
1783995211.485,NONE,screen_collector/screens/browser/NONE/20260713-221315_000035.png
1783995212.242,NONE,screen_collector/screens/browser/NONE/20260713-221315_000036.png
1783995213.217,NONE,screen_collector/screens/browser/NONE/20260713-221315_000037.png
1783995213.849,NONE,screen_collector/screens/browser/NONE/20260713-221315_000038.png
1783995214.542,NONE,screen_collector/screens/browser/NONE/20260713-221315_000039.png
1783995214.684,NONE,screen_collector/screens/browser/NONE/20260713-221315_000040.png
1783995214.897,NONE,screen_collector/screens/browser/NONE/20260713-221315_000041.png
1783995216.086,NONE,screen_collector/screens/browser/NONE/20260713-221315_000042.png
1783995216.225,NONE,screen_collector/screens/browser/NONE/20260713-221315_000043.png
1783995216.579,NONE,screen_collector/screens/browser/NONE/20260713-221315_000044.png
1783995217.002,NONE,screen_collector/screens/browser/NONE/20260713-221315_000045.png
1783995217.908,NONE,screen_collector/screens/browser/NONE/20260713-221315_000046.png
1783995218.468,NONE,screen_collector/screens/browser/NONE/20260713-221315_000047.png
1783995219.172,NONE,screen_collector/screens/browser/NONE/20260713-221315_000048.png
1783995219.661,NONE,screen_collector/screens/browser/NONE/20260713-221315_000049.png
1783995220.020,NONE,screen_collector/screens/browser/NONE/20260713-221315_000050.png
1783995220.647,NONE,screen_collector/screens/browser/NONE/20260713-221315_000051.png
1783995221.340,NONE,screen_collector/screens/browser/NONE/20260713-221315_000052.png
1783995221.411,NONE,screen_collector/screens/browser/NONE/20260713-221315_000053.png
1783995221.698,NONE,screen_collector/screens/browser/NONE/20260713-221315_000054.png
1783995222.193,NONE,screen_collector/screens/browser/NONE/20260713-221315_000055.png
1783995222.471,NONE,screen_collector/screens/browser/NONE/20260713-221315_000056.png
1783995223.667,NONE,screen_collector/screens/browser/NONE/20260713-221315_000057.png
1783995224.020,NONE,screen_collector/screens/browser/NONE/20260713-221315_000058.png
1783995224.090,NONE,screen_collector/screens/browser/NONE/20260713-221315_000059.png
1783995225.847,NONE,screen_collector/screens/browser/NONE/20260713-221315_000060.png
1783995228.150,NONE,screen_collector/screens/browser/NONE/20260713-221315_000061.png
1783995228.560,NONE,screen_collector/screens/browser/NONE/20260713-221315_000062.png
1783995228.840,NONE,screen_collector/screens/browser/NONE/20260713-221315_000063.png
1783995229.049,NONE,screen_collector/screens/browser/NONE/20260713-221315_000064.png
1783995230.864,NONE,screen_collector/screens/browser/NONE/20260713-221315_000065.png
1783995231.140,NONE,screen_collector/screens/browser/NONE/20260713-221315_000066.png
1783995232.417,NONE,screen_collector/screens/browser/NONE/20260713-221315_000067.png
1783995232.484,NONE,screen_collector/screens/browser/NONE/20260713-221315_000068.png
1783995234.025,NONE,screen_collector/screens/browser/NONE/20260713-221315_000069.png
1783995235.289,NONE,screen_collector/screens/browser/NONE/20260713-221315_000070.png
1783995235.360,NONE,screen_collector/screens/browser/NONE/20260713-221315_000071.png
1783995235.431,NONE,screen_collector/screens/browser/NONE/20260713-221315_000072.png
1783995235.711,NONE,screen_collector/screens/browser/NONE/20260713-221315_000073.png
1783995236.619,NONE,screen_collector/screens/browser/NONE/20260713-221315_000074.png
1783995236.972,NONE,screen_collector/screens/browser/NONE/20260713-221315_000075.png
1783995237.042,NONE,screen_collector/screens/browser/NONE/20260713-221315_000076.png
1783995237.889,NONE,screen_collector/screens/browser/NONE/20260713-221315_000077.png
1783995238.311,NONE,screen_collector/screens/browser/NONE/20260713-221315_000078.png
1783995238.451,NONE,screen_collector/screens/browser/NONE/20260713-221315_000079.png
1783995238.739,NONE,screen_collector/screens/browser/NONE/20260713-221315_000080.png
1783995239.156,NONE,screen_collector/screens/browser/NONE/20260713-221315_000081.png
1783995239.434,NONE,screen_collector/screens/browser/NONE/20260713-221315_000082.png
1783995240.132,NONE,screen_collector/screens/browser/NONE/20260713-221315_000083.png
1783995240.710,NONE,screen_collector/screens/browser/NONE/20260713-221315_000084.png
1783995241.840,NONE,screen_collector/screens/browser/NONE/20260713-221315_000085.png
1783995241.909,NONE,screen_collector/screens/browser/NONE/20260713-221315_000086.png
1783995242.200,NONE,screen_collector/screens/browser/NONE/20260713-221315_000087.png
1783995242.407,NONE,screen_collector/screens/browser/NONE/20260713-221315_000088.png
1783995243.041,NONE,screen_collector/screens/browser/NONE/20260713-221315_000089.png
1783995243.111,NONE,screen_collector/screens/browser/NONE/20260713-221315_000090.png
1783995243.177,NONE,screen_collector/screens/browser/NONE/20260713-221315_000091.png
1783995243.817,NONE,screen_collector/screens/browser/NONE/20260713-221315_000092.png
1783995243.884,NONE,screen_collector/screens/browser/NONE/20260713-221315_000093.png
1783995245.005,NONE,screen_collector/screens/browser/NONE/20260713-221315_000094.png
1783995246.268,NONE,screen_collector/screens/browser/NONE/20260713-221315_000095.png
1783995246.335,NONE,screen_collector/screens/browser/NONE/20260713-221315_000096.png
1783995246.826,NONE,screen_collector/screens/browser/NONE/20260713-221315_000097.png
1783995248.008,NONE,screen_collector/screens/browser/NONE/20260713-221315_000098.png
1783995248.214,NONE,screen_collector/screens/browser/NONE/20260713-221315_000099.png
1783995248.705,NONE,screen_collector/screens/browser/NONE/20260713-221315_000100.png
1783995249.544,NONE,screen_collector/screens/browser/NONE/20260713-221315_000101.png
1783995250.309,NONE,screen_collector/screens/browser/NONE/20260713-221315_000102.png
1783995250.377,NONE,screen_collector/screens/browser/NONE/20260713-221315_000103.png
1783995250.586,NONE,screen_collector/screens/browser/NONE/20260713-221315_000104.png
1783995251.360,NONE,screen_collector/screens/browser/NONE/20260713-221315_000105.png
1783995252.264,NONE,screen_collector/screens/browser/NONE/20260713-221315_000106.png
1783995252.821,NONE,screen_collector/screens/browser/NONE/20260713-221315_000107.png
1783995253.726,NONE,screen_collector/screens/browser/NONE/20260713-221315_000108.png
1783995253.797,NONE,screen_collector/screens/browser/NONE/20260713-221315_000109.png
1783995254.214,NONE,screen_collector/screens/browser/NONE/20260713-221315_000110.png
1783995254.424,NONE,screen_collector/screens/browser/NONE/20260713-221315_000111.png
1783995254.842,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000112.png
1783995254.913,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000113.png
1783995254.985,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000114.png
1783995255.056,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000115.png
1783995255.125,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000116.png
1783995255.195,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000117.png
1783995255.264,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000118.png
1783995255.336,LEFT,screen_collector/screens/browser/LEFT/20260713-221315_000119.png
1783995255.551,NONE,screen_collector/screens/browser/NONE/20260713-221315_000120.png
1783995255.972,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000121.png
1783995256.044,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000122.png
1783995256.112,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000123.png
1783995256.179,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000124.png
1783995256.247,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000125.png
1783995256.318,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000126.png
1783995256.388,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000127.png
1783995256.459,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000128.png
1783995256.531,DOWN,screen_collector/screens/browser/DOWN/20260713-221315_000129.png
1783995256.603,NONE,screen_collector/screens/browser/NONE/20260713-221315_000130.png
1783995256.961,NONE,screen_collector/screens/browser/NONE/20260713-221315_000131.png
1783995257.245,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000132.png
1783995257.316,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000133.png
1783995257.386,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000134.png
1783995257.455,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000135.png
1783995257.523,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000136.png
1783995257.594,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000137.png
1783995257.665,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000138.png
1783995257.737,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000139.png
1783995258.094,UP,screen_collector/screens/browser/UP/20260713-221315_000140.png
1783995258.165,UP,screen_collector/screens/browser/UP/20260713-221315_000141.png
1783995258.237,UP,screen_collector/screens/browser/UP/20260713-221315_000142.png
1783995258.308,UP,screen_collector/screens/browser/UP/20260713-221315_000143.png
1783995258.378,UP,screen_collector/screens/browser/UP/20260713-221315_000144.png
1783995258.446,UP,screen_collector/screens/browser/UP/20260713-221315_000145.png
1783995258.514,UP,screen_collector/screens/browser/UP/20260713-221315_000146.png
1783995258.585,UP,screen_collector/screens/browser/UP/20260713-221315_000147.png
1783995258.655,UP,screen_collector/screens/browser/UP/20260713-221315_000148.png
1783995259.443,NONE,screen_collector/screens/browser/NONE/20260713-221315_000149.png
1783995260.693,NONE,screen_collector/screens/browser/NONE/20260713-221315_000150.png
1783995262.644,NONE,screen_collector/screens/browser/NONE/20260713-221315_000151.png
1783995262.787,NONE,screen_collector/screens/browser/NONE/20260713-221315_000152.png
1783995262.996,NONE,screen_collector/screens/browser/NONE/20260713-221315_000153.png
1783995263.769,NONE,screen_collector/screens/browser/NONE/20260713-221315_000154.png
1783995264.265,NONE,screen_collector/screens/browser/NONE/20260713-221315_000155.png
1783995264.335,NONE,screen_collector/screens/browser/NONE/20260713-221315_000156.png
1783995264.754,NONE,screen_collector/screens/browser/NONE/20260713-221315_000157.png
1783995264.894,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000158.png
1783995264.966,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000159.png
1783995265.036,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000160.png
1783995265.105,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000161.png
1783995265.175,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000162.png
1783995265.247,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000163.png
1783995265.317,RIGHT,screen_collector/screens/browser/RIGHT/20260713-221315_000164.png
